date,count
2017-03-14,143420
2017-03-15,140333
2017-03-16,138937
2017-03-17,128294
2017-03-18,87342
2017-03-19,94043
2017-03-20,137824
2017-03-21,142273
2017-03-22,140031
2017-03-23,150599
2017-03-24,129222
2017-03-25,87190
2017-03-26,92394
2017-03-27,134999
2017-03-28,142757
2017-03-29,149576
2017-03-30,143188
2017-03-31,130420
2017-04-01,88888
2017-04-02,87017
2017-04-03,129921
2017-04-04,137945
2017-04-05,141236
2017-04-06,138860
2017-04-07,127761
2017-04-08,85626
2017-04-09,89917
2017-04-10,132129
2017-04-11,135749
2017-04-12,136242
2017-04-13,128836
2017-04-14,109299
2017-04-15,82120
2017-04-16,80991
2017-04-17,120041
2017-04-18,138223
2017-04-19,138438
2017-04-20,138855
2017-04-21,130657
2017-04-22,88023
2017-04-23,91781
2017-04-24,135203
2017-04-25,138721
2017-04-26,137496
2017-04-27,133746
2017-04-28,128161
2017-04-29,81441
2017-04-30,83882
2017-05-01,110421
2017-05-02,133633
2017-05-03,137428
2017-05-04,135318
2017-05-05,131059
2017-05-06,85248
2017-05-07,86267
2017-05-08,126896
2017-05-09,138497
2017-05-10,137661
2017-05-11,137622
2017-05-12,125577
2017-05-13,83915
2017-05-14,84276
2017-05-15,128914
2017-05-16,134752
2017-05-17,130951
2017-05-18,128013
2017-05-19,126280
2017-05-20,85046
2017-05-21,83664
2017-05-22,129002
2017-05-23,130253
2017-05-24,132441
2017-05-25,120011
2017-05-26,119882
2017-05-27,81247
2017-05-28,77195
2017-05-29,115671
2017-05-30,126545
2017-05-31,138183
2017-06-01,130526
2017-06-02,126928
2017-06-03,78929
2017-06-04,84786
2017-06-05,121271
2017-06-06,129639
2017-06-07,135531
2017-06-08,129052
2017-06-09,118416
2017-06-10,81788
2017-06-11,81498
2017-06-12,121122
2017-06-13,134493
2017-06-14,131837
2017-06-15,129180
2017-06-16,117198
2017-06-17,78329
2017-06-18,77334
2017-06-19,123535
2017-06-20,126632
2017-06-21,126228
2017-06-22,126422
2017-06-23,115770
2017-06-24,73863
2017-06-25,80369
2017-06-26,115638
2017-06-27,121893
2017-06-28,125502
2017-06-29,122897
2017-06-30,113950
2017-07-01,71770
2017-07-02,75988
2017-07-03,111772
2017-07-04,107425
2017-07-05,122412
2017-07-06,120593
2017-07-07,113371
2017-07-08,75696
2017-07-09,75230
2017-07-10,116053
2017-07-11,122205
2017-07-12,120081
2017-07-13,120956
2017-07-14,109815
2017-07-15,76728
2017-07-16,79623
2017-07-17,117590
2017-07-18,124931
2017-07-19,123853
2017-07-20,120898
2017-07-21,111410
2017-07-22,76731
2017-07-23,78884
2017-07-24,119990
2017-07-25,133488
2017-07-26,125063
2017-07-27,125056
2017-07-28,116609
2017-07-29,79527
2017-07-30,82342
2017-07-31,116600
2017-08-01,123683
2017-08-02,122264
2017-08-03,119225
2017-08-04,112843
2017-08-05,74850
2017-08-06,78532
2017-08-07,114553
2017-08-08,124776
2017-08-09,119022
2017-08-10,119462
2017-08-11,114639
2017-08-12,73344
2017-08-13,77647
2017-08-14,110835
2017-08-15,115721
2017-08-16,118270
2017-08-17,114687
2017-08-18,113793
2017-08-19,74150
2017-08-20,77349
2017-08-21,107846
2017-08-22,121789
2017-08-23,117422
2017-08-24,115581
2017-08-25,108834
2017-08-26,77320
2017-08-27,76554
2017-08-28,112159
2017-08-29,120848
2017-08-30,121972
2017-08-31,122065
2017-09-01,109825
2017-09-02,70677
2017-09-03,79169
2017-09-04,104070
2017-09-05,118165
2017-09-06,118562
2017-09-07,117114
2017-09-08,113073
2017-09-09,78495
2017-09-10,82554
2017-09-11,116915
